"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.877802133208931,0.7189,0.113207258367006,-0.0715412294732005,0.612764194665137,0.691084059064416,0.872784310718394,1
"total_sleep_duration",-2.30933419028479e-07,1,0.113207258367006,-0.0715412294732005,0.612764194665137,0.691084059064416,-0.2255678607731,1
"awake_time",-1.87295541168477e-07,1,0.113207258367006,-0.0715412294732005,0.612764194665137,0.691084059064416,-0.156700097519704,1
"restless_sleep",2.85282717572053e-05,0.2202,0.113207258367006,-0.0715412294732005,0.612764194665137,0.691084059064416,0.286696984268411,1
"steps",9.85434984379785e-08,1,0.113207258367006,-0.0715412294732005,0.612764194665137,0.691084059064416,0.0749967012999587,1
"inactive_time",1.12951325391769e-07,0.4681,0.113207258367006,-0.0715412294732005,0.612764194665137,0.691084059064416,0.173780455907868,1
"(Intercept)1",0.87956814462769,1,0.0254018031294691,-0.177639487885225,0.125106587938464,0.985339269237876,0.876201642469365,2
"total_sleep_duration1",2.22717454843133e-07,1,0.0254018031294691,-0.177639487885225,0.125106587938464,0.985339269237876,0.173168617386988,2
"awake_time1",-4.31424673478911e-08,1,0.0254018031294691,-0.177639487885225,0.125106587938464,0.985339269237876,-0.0287323604756893,2
"restless_sleep1",-1.04194681151481e-05,0.7488,0.0254018031294691,-0.177639487885225,0.125106587938464,0.985339269237876,-0.0833523235671037,2
"steps1",3.63149943644305e-08,1,0.0254018031294691,-0.177639487885225,0.125106587938464,0.985339269237876,0.0220001005365303,2
"inactive_time1",1.1460431857686e-08,0.96,0.0254018031294691,-0.177639487885225,0.125106587938464,0.985339269237876,0.0140357325200431,2
"(Intercept)2",0.883016576921635,0.6507,0.121844001297367,-0.0611051650990153,0.665999215505451,0.65282079375149,0.883160373618611,3
"total_sleep_duration2",1.83336526293668e-07,1,0.121844001297367,-0.0611051650990153,0.665999215505451,0.65282079375149,0.126930495708588,3
"awake_time2",1.01046335034062e-08,1,0.121844001297367,-0.0611051650990153,0.665999215505451,0.65282079375149,0.00599223637713647,3
"restless_sleep2",7.40382401918343e-06,0.8188,0.121844001297367,-0.0611051650990153,0.665999215505451,0.65282079375149,0.0527388058044485,3
"steps2",2.36544325919669e-07,1,0.121844001297367,-0.0611051650990153,0.665999215505451,0.65282079375149,0.127600760405185,3
"inactive_time2",-2.47411317383658e-07,0.2894,0.121844001297367,-0.0611051650990153,0.665999215505451,0.65282079375149,-0.269808548113748,3
