"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.837602125009874,0.1376,0.259564449527883,0.105307043179526,1.68267090490107,0.177126176551603,0.882023697031187,1
"total_sleep_duration",2.16962642273202e-07,1,0.259564449527883,0.105307043179526,1.68267090490107,0.177126176551603,0.0317783655811176,1
"awake_time",-4.3394420298049e-06,1,0.259564449527883,0.105307043179526,1.68267090490107,0.177126176551603,-0.544417252564989,1
"restless_sleep",-9.80108769273578e-05,0.4696,0.259564449527883,0.105307043179526,1.68267090490107,0.177126176551603,-0.147699184352228,1
"steps",1.6076030330148e-06,1,0.259564449527883,0.105307043179526,1.68267090490107,0.177126176551603,0.183463283685096,1
"inactive_time",-7.90676206199463e-07,0.4249,0.259564449527883,0.105307043179526,1.68267090490107,0.177126176551603,-0.182416631124076,1
"(Intercept)1",0.848604784022508,0.0568,0.298377986109419,0.152206733215548,2.04129047403089,0.108731098467606,0.901458583976935,2
"total_sleep_duration1",5.87574955908098e-07,1,0.298377986109419,0.152206733215548,2.04129047403089,0.108731098467606,0.104123732553961,2
"awake_time1",-3.00818069771521e-06,1,0.298377986109419,0.152206733215548,2.04129047403089,0.108731098467606,-0.456606158142315,2
"restless_sleep1",0.00011917053409628,0.3232,0.298377986109419,0.152206733215548,2.04129047403089,0.108731098467606,0.217276403282244,2
"steps1",-7.69596688602474e-07,1,0.298377986109419,0.152206733215548,2.04129047403089,0.108731098467606,-0.106260875928251,2
"inactive_time1",-2.05586584289693e-06,0.0116,0.298377986109419,0.152206733215548,2.04129047403089,0.108731098467606,-0.573852645157909,2
"(Intercept)2",0.845983752760466,0.2168,0.166044431382371,-0.0076963120796345,0.955702318717672,0.464014716744838,0.892480101570216,3
"total_sleep_duration2",1.9890161213973e-07,1,0.166044431382371,-0.0076963120796345,0.955702318717672,0.464014716744838,0.0366252200363945,3
"awake_time2",-2.32673097789595e-06,1,0.166044431382371,-0.0076963120796345,0.955702318717672,0.464014716744838,-0.366977556166556,3
"restless_sleep2",-5.87916097005449e-05,0.5963,0.166044431382371,-0.0076963120796345,0.955702318717672,0.464014716744838,-0.111381873063441,3
"steps2",1.1102770456139e-06,1,0.166044431382371,-0.0076963120796345,0.955702318717672,0.464014716744838,0.159293131597288,3
"inactive_time2",-1.18296084504474e-06,0.1494,0.166044431382371,-0.0076963120796345,0.955702318717672,0.464014716744838,-0.343108498211116,3
