"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.864447395267169,0.4742,0.17662472296083,0.00508820691100265,1.02966252916973,0.422708298758765,0.855817040887266,1
"total_sleep_duration",-3.44892115906404e-07,1,0.17662472296083,0.00508820691100265,1.02966252916973,0.422708298758765,-0.216354251715346,1
"awake_time",-4.68182112035313e-07,1,0.17662472296083,0.00508820691100265,1.02966252916973,0.422708298758765,-0.251563933518098,1
"restless_sleep",3.11800680707024e-05,0.3704,0.17662472296083,0.00508820691100265,1.02966252916973,0.422708298758765,0.201240993595299,1
"steps",2.78694046375694e-07,1,0.17662472296083,0.00508820691100265,1.02966252916973,0.422708298758765,0.136217720541886,1
"inactive_time",2.55738706530394e-07,0.2892,0.17662472296083,0.00508820691100265,1.02966252916973,0.422708298758765,0.252695668286605,1
"(Intercept)1",0.871272412590238,0.8876,0.0636892029853075,-0.131375546392754,0.326502882701115,0.891997051977209,0.869814161521224,2
"total_sleep_duration1",5.28144008249726e-07,1,0.0636892029853075,-0.131375546392754,0.326502882701115,0.891997051977209,0.295180192270194,2
"awake_time1",-8.47584753715354e-08,1,0.0636892029853075,-0.131375546392754,0.326502882701115,0.891997051977209,-0.0405760141280866,2
"restless_sleep1",-3.33072310512989e-05,0.4492,0.0636892029853075,-0.131375546392754,0.326502882701115,0.891997051977209,-0.191527266463944,2
"steps1",1.26170875095804e-07,1,0.0636892029853075,-0.131375546392754,0.326502882701115,0.891997051977209,0.054943676861342,2
"inactive_time1",-1.25276338627315e-07,0.6806,0.0636892029853075,-0.131375546392754,0.326502882701115,0.891997051977209,-0.110286682162735,2
"(Intercept)2",0.876637747412246,0.703,0.0971235695969961,-0.0909756867369631,0.516342124312065,0.761287703773136,0.880888233906791,3
"total_sleep_duration2",2.00041274443425e-07,1,0.0971235695969961,-0.0909756867369631,0.516342124312065,0.761287703773136,0.101632009672761,3
"awake_time2",-2.19188768868606e-07,1,0.0971235695969961,-0.0909756867369631,0.516342124312065,0.761287703773136,-0.095385111314475,3
"restless_sleep2",1.09060272299419e-05,0.8102,0.0971235695969961,-0.0909756867369631,0.516342124312065,0.761287703773136,0.0570078555768585,3
"steps2",2.3021670811262e-07,1,0.0971235695969961,-0.0909756867369631,0.516342124312065,0.761287703773136,0.0911321235251528,3
"inactive_time2",-3.6960926137911e-07,0.2407,0.0971235695969961,-0.0909756867369631,0.516342124312065,0.761287703773136,-0.295782796749145,3
