"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.666851465304125,0.1338,0.161007954576077,-0.0137820548872398,0.921150785851223,0.484344537102289,0.766313037972582,1
"total_sleep_duration",2.7448787846929e-07,1,0.161007954576077,-0.0137820548872398,0.921150785851223,0.484344537102289,0.0313769306799133,1
"awake_time",3.26394606205745e-07,1,0.161007954576077,-0.0137820548872398,0.921150785851223,0.484344537102289,0.0319581516911527,1
"restless_sleep",-0.00031398641911016,0.1102,0.161007954576077,-0.0137820548872398,0.921150785851223,0.484344537102289,-0.36927965211518,1
"steps",-6.52936743559164e-07,1,0.161007954576077,-0.0137820548872398,0.921150785851223,0.484344537102289,-0.0581543420416917,1
"inactive_time",-9.66250721287073e-07,0.4792,0.161007954576077,-0.0137820548872398,0.921150785851223,0.484344537102289,-0.173978781291568,1
"(Intercept)1",0.511712429487343,0.5324,0.214442329256788,0.0507844811852853,1.31030886562249,0.292913209242375,0.48608875416239,2
"total_sleep_duration1",3.59326837959204e-06,1,0.214442329256788,0.0507844811852853,1.31030886562249,0.292913209242375,0.268078526136396,2
"awake_time1",-1.81585879541897e-06,1,0.214442329256788,0.0507844811852853,1.31030886562249,0.292913209242375,-0.116039497179618,2
"restless_sleep1",-0.000354382431961703,0.2177,0.214442329256788,0.0507844811852853,1.31030886562249,0.292913209242375,-0.272020592378876,2
"steps1",6.51563383288156e-06,1,0.214442329256788,0.0507844811852853,1.31030886562249,0.292913209242375,0.378750130422975,2
"inactive_time1",-1.22934797316684e-06,0.5678,0.214442329256788,0.0507844811852853,1.31030886562249,0.292913209242375,-0.144466238957815,2
"(Intercept)2",0.628098670676115,0.2582,0.0758163079481608,-0.116721961229306,0.393772668010635,0.84816899257909,0.703500920561693,3
"total_sleep_duration2",1.79832046902366e-06,1,0.0758163079481608,-0.116721961229306,0.393772668010635,0.84816899257909,0.191146405805685,3
"awake_time2",-1.20083092529213e-06,1,0.0758163079481608,-0.116721961229306,0.393772668010635,0.84816899257909,-0.109328227067573,3
"restless_sleep2",-0.000168798286379865,0.4422,0.0758163079481608,-0.116721961229306,0.393772668010635,0.84816899257909,-0.184596859610236,3
"steps2",-1.5587952961147e-06,1,0.0758163079481608,-0.116721961229306,0.393772668010635,0.84816899257909,-0.129095732204669,3
"inactive_time2",-1.68998702439781e-06,0.2511,0.0758163079481608,-0.116721961229306,0.393772668010635,0.84816899257909,-0.282944713657248,3
