"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","node"
"(Intercept)",0.869605962028968,1,0.0547756826239181,-0.142146050162766,0.278159661956936,0.920540385963584,0.854203042218488,1
"total_sleep_duration",6.56062891458873e-07,1,0.0547756826239181,-0.142146050162766,0.278159661956936,0.920540385963584,0.150879854296387,1
"awake_time",-5.28265933777877e-07,1,0.0547756826239181,-0.142146050162766,0.278159661956936,0.920540385963584,-0.104061427804522,1
"restless_sleep",2.42851297624617e-05,0.8199,0.0547756826239181,-0.142146050162766,0.278159661956936,0.920540385963584,0.0574623571478684,1
"steps",-1.66246299459339e-07,1,0.0547756826239181,-0.142146050162766,0.278159661956936,0.920540385963584,-0.0297893837521055,1
"inactive_time",-1.18354115532161e-08,1,0.0547756826239181,-0.142146050162766,0.278159661956936,0.920540385963584,-0.00428734381286199,1
"(Intercept)1",0.937815363985133,0.2778,0.131770643842718,-0.0491104720233824,0.728493094548703,0.608946072482081,0.990935219996007,2
"total_sleep_duration1",5.63864469456038e-07,1,0.131770643842718,-0.0491104720233824,0.728493094548703,0.608946072482081,0.11117568810455,2
"awake_time1",-3.94261060077692e-07,1,0.131770643842718,-0.0491104720233824,0.728493094548703,0.608946072482081,-0.0665840756158644,2
"restless_sleep1",-9.6724072798896e-06,0.9394,0.131770643842718,-0.0491104720233824,0.728493094548703,0.608946072482081,-0.0196212602582831,2
"steps1",-2.14028246606602e-06,1,0.131770643842718,-0.0491104720233824,0.728493094548703,0.608946072482081,-0.328798585219179,2
"inactive_time1",-1.13886316211899e-06,0.162,0.131770643842718,-0.0491104720233824,0.728493094548703,0.608946072482081,-0.353692464834931,2
"(Intercept)2",0.877728438375287,1,0.0402410512440611,-0.159708729746759,0.201255790552271,0.958792565881672,0.870530687123372,3
"total_sleep_duration2",-8.51890630574866e-08,1,0.0402410512440611,-0.159708729746759,0.201255790552271,0.958792565881672,-0.0218507714320041,3
"awake_time2",2.60184465045127e-07,1,0.0402410512440611,-0.159708729746759,0.201255790552271,0.958792565881672,0.0571630887809007,3
"restless_sleep2",-5.28537665597158e-06,1,0.0402410512440611,-0.159708729746759,0.201255790552271,0.958792565881672,-0.0139481336803391,3
"steps2",8.71564085864142e-07,1,0.0402410512440611,-0.159708729746759,0.201255790552271,0.958792565881672,0.17418309714314,3
"inactive_time2",-9.36217327893719e-09,0.9913,0.0402410512440611,-0.159708729746759,0.201255790552271,0.958792565881672,-0.00378249857323775,3
"(Intercept)3",0.924461920779101,0.054,0.324171691191181,0.183374126856011,2.30239558988028,0.0764134079485986,0.961725612334018,4
"total_sleep_duration3",6.81703359499422e-07,1,0.324171691191181,0.183374126856011,2.30239558988028,0.0764134079485986,0.163138548628909,4
"awake_time3",-2.90825772101913e-06,1,0.324171691191181,0.183374126856011,2.30239558988028,0.0764134079485986,-0.596136128254262,4
"restless_sleep3",2.01641677325968e-05,0.807,0.324171691191181,0.183374126856011,2.30239558988028,0.0764134079485986,0.0496476489940276,4
"steps3",-9.62023685101655e-07,1,0.324171691191181,0.183374126856011,2.30239558988028,0.0764134079485986,-0.179378618283539,4
"inactive_time3",-9.92592353473965e-07,0.1182,0.324171691191181,0.183374126856011,2.30239558988028,0.0764134079485986,-0.374154739373385,4
"(Intercept)4",1.03314593784227,0.0293,0.309928037684605,0.166163045535565,2.15579629680155,0.093108960219119,1.18257836256623,5
"total_sleep_duration4",3.84260011316188e-07,1,0.309928037684605,0.166163045535565,2.15579629680155,0.093108960219119,0.0446948079595772,5
"awake_time4",-2.7472371811285e-06,1,0.309928037684605,0.166163045535565,2.15579629680155,0.093108960219119,-0.273702921336545,5
"restless_sleep4",-2.48768266738738e-05,1,0.309928037684605,0.166163045535565,2.15579629680155,0.093108960219119,-0.0297703603186684,5
"steps4",-6.04376698240628e-06,1,0.309928037684605,0.166163045535565,2.15579629680155,0.093108960219119,-0.547725986191573,5
"inactive_time4",-2.21279792970129e-06,0.0543,0.309928037684605,0.166163045535565,2.15579629680155,0.093108960219119,-0.405408459122876,5
"(Intercept)5",0.944598742151508,0.0998,0.257101943530057,0.102331515098819,1.66118260533396,0.182381806254198,1.00137347476576,6
"total_sleep_duration5",-4.82062662284567e-07,1,0.257101943530057,0.102331515098819,1.66118260533396,0.182381806254198,-0.101610130888924,6
