"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.841572073924508,0.1612,0.278125613745867,0.12773511660959,1.8493563027047,0.141156377677911,0.840199736363124,1
"total_sleep_duration",-3.04230554014328e-07,1,0.278125613745867,0.12773511660959,1.8493563027047,0.141156377677911,-0.181372929047711,1
"awake_time",-8.88896560058015e-07,1,0.278125613745867,0.12773511660959,1.8493563027047,0.141156377677911,-0.453912619180214,1
"restless_sleep",1.06226891489965e-05,0.746,0.278125613745867,0.12773511660959,1.8493563027047,0.141156377677911,0.0651570386501554,1
"steps",3.21554485887253e-07,1,0.278125613745867,0.12773511660959,1.8493563027047,0.141156377677911,0.149364696521398,1
"inactive_time",1.84669735953899e-07,0.4451,0.278125613745867,0.12773511660959,1.8493563027047,0.141156377677911,0.17341415019781,1
"(Intercept)1",0.850666565344116,0.7,0.084078594145419,-0.106738365407619,0.440624325753652,0.815684731026053,0.860312080267539,2
"total_sleep_duration1",2.09679092934986e-07,1,0.084078594145419,-0.106738365407619,0.440624325753652,0.815684731026053,0.117640272528125,2
"awake_time1",2.22301774535121e-07,1,0.084078594145419,-0.106738365407619,0.440624325753652,0.815684731026053,0.10683048869541,2
"restless_sleep1",-1.43389270516919e-05,0.7204,0.084078594145419,-0.106738365407619,0.440624325753652,0.815684731026053,-0.0827703467222962,2
"steps1",-6.00469881249122e-07,1,0.084078594145419,-0.106738365407619,0.440624325753652,0.815684731026053,-0.26249187873236,2
"inactive_time1",-1.68713003680149e-07,0.5667,0.084078594145419,-0.106738365407619,0.440624325753652,0.815684731026053,-0.149096900655447,2
"(Intercept)2",0.854045359701373,0.5857,0.115311633625523,-0.0689984427024928,0.625639335205437,0.681773012424165,0.86487034062241,3
"total_sleep_duration2",-2.40945630456782e-07,1,0.115311633625523,-0.0689984427024928,0.625639335205437,0.681773012424165,-0.112310148385787,3
"awake_time2",-3.29982340953657e-07,1,0.115311633625523,-0.0689984427024928,0.625639335205437,0.681773012424165,-0.131747395448947,3
"restless_sleep2",1.81609743945422e-05,0.7093,0.115311633625523,-0.0689984427024928,0.625639335205437,0.681773012424165,0.0870956207379909,3
"steps2",4.0346508535943e-07,1,0.115311633625523,-0.0689984427024928,0.625639335205437,0.681773012424165,0.146531047511305,3
"inactive_time2",-3.58755500549061e-07,0.2891,0.115311633625523,-0.0689984427024928,0.625639335205437,0.681773012424165,-0.263401158203649,3
