"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","node"
"(Intercept)",0.830283706868482,0.9414,0.0819600644830014,-0.109298255416373,0.428530714512825,0.824184854592065,0.796835948737937,1
"total_sleep_duration",-3.78497744025242e-07,1,0.0819600644830014,-0.109298255416373,0.428530714512825,0.824184854592065,-0.0767921648888351,1
"awake_time",-3.17274735813298e-07,1,0.0819600644830014,-0.109298255416373,0.428530714512825,0.824184854592065,-0.0551366657738338,1
"restless_sleep",0.000140166374430805,0.2237,0.0819600644830014,-0.109298255416373,0.428530714512825,0.824184854592065,0.292586768418207,1
"steps",5.44608839995213e-07,1,0.0819600644830014,-0.109298255416373,0.428530714512825,0.824184854592065,0.0860918523528251,1
"inactive_time",2.19946562458694e-07,0.7756,0.0819600644830014,-0.109298255416373,0.428530714512825,0.824184854592065,0.0702894200730958,1
"(Intercept)1",0.84735824393322,0.764,0.114721734541778,-0.069711237428685,0.622023997748898,0.68438445037902,0.832022194198089,2
"total_sleep_duration1",4.86517978856105e-07,1,0.114721734541778,-0.069711237428685,0.622023997748898,0.68438445037902,0.125676329833156,2
"awake_time1",-5.5445564335438e-07,1,0.114721734541778,-0.069711237428685,0.622023997748898,0.68438445037902,-0.122679725766666,2
"restless_sleep1",8.95024077681587e-05,0.3249,0.114721734541778,-0.069711237428685,0.622023997748898,0.68438445037902,0.237873761777806,2
"steps1",-8.27231638697006e-08,1,0.114721734541778,-0.069711237428685,0.622023997748898,0.68438445037902,-0.0166496643082859,2
"inactive_time1",-3.33668138344848e-07,0.6005,0.114721734541778,-0.069711237428685,0.622023997748898,0.68438445037902,-0.135765211104267,2
"(Intercept)2",0.863817216647223,0.3487,0.190235980205402,0.0215351427481938,1.12765285029279,0.372636262130383,0.870739854305057,3
"total_sleep_duration2",1.92666209813495e-06,1,0.190235980205402,0.0215351427481938,1.12765285029279,0.372636262130383,0.255798436932611,3
"awake_time2",-3.38140043030433e-06,1,0.190235980205402,0.0215351427481938,1.12765285029279,0.372636262130383,-0.384538943633562,3
"restless_sleep2",-0.00013937092471372,0.3812,0.190235980205402,0.0215351427481938,1.12765285029279,0.372636262130383,-0.190380183218226,3
"steps2",9.33270517217619e-07,1,0.190235980205402,0.0215351427481938,1.12765285029279,0.372636262130383,0.0965436310194585,3
"inactive_time2",-4.6404493933326e-07,0.666,0.190235980205402,0.0215351427481938,1.12765285029279,0.372636262130383,-0.0970446367559463,3
"(Intercept)3",0.832547654305722,1,0.0461923138666055,-0.152517620744518,0.2324610189068,0.944486033033886,0.807374073832703,4
"total_sleep_duration3",-1.85973553112122e-07,1,0.0461923138666055,-0.152517620744518,0.2324610189068,0.944486033033886,-0.0284416311314999,4
"awake_time3",1.87994331772678e-09,1,0.0461923138666055,-0.152517620744518,0.2324610189068,0.944486033033886,0.000246263166234148,4
"restless_sleep3",6.13488275774799e-07,1,0.0461923138666055,-0.152517620744518,0.2324610189068,0.944486033033886,0.000965309999315779,4
"steps3",-1.16887690495489e-07,1,0.0461923138666055,-0.152517620744518,0.2324610189068,0.944486033033886,-0.0139282270798905,4
"inactive_time3",8.93456712278989e-07,0.4272,0.0461923138666055,-0.152517620744518,0.2324610189068,0.944486033033886,0.215226623494809,4
"(Intercept)4",0.857695018562379,0.5371,0.14070251426394,-0.038317795264406,0.785958390054403,0.569927819730194,0.85428358058433,5
"total_sleep_duration4",1.20599772853621e-06,1,0.14070251426394,-0.038317795264406,0.785958390054403,0.569927819730194,0.186696530622696,5
"awake_time4",-1.01285743184934e-06,1,0.14070251426394,-0.038317795264406,0.785958390054403,0.569927819730194,-0.134304161463835,5
"restless_sleep4",-0.000217502415240685,0.1436,0.14070251426394,-0.038317795264406,0.785958390054403,0.569927819730194,-0.346426469631214,5
"steps4",1.05410287432115e-06,1,0.14070251426394,-0.038317795264406,0.785958390054403,0.569927819730194,0.127144185832118,5
"inactive_time4",4.62665402226536e-07,0.6498,0.14070251426394,-0.038317795264406,0.785958390054403,0.569927819730194,0.112817363888378,5
"(Intercept)5",0.80803618262127,0.5463,0.248078797145315,0.0914285465505895,1.58364762394876,0.202651829694037,0.752332538949329,6
"total_sleep_duration5",1.06141174504815e-06,1,0.248078797145315,0.0914285465505895,1.58364762394876,0.202651829694037,0.160501352685469,6
"awake_time5",4.36188099613123e-06,1,0.248078797145315,0.0914285465505895,1.58364762394876,0.202651829694037,0.564963009235551,6
"restless_sleep5",-7.52659696084306e-05,0.6047,0.248078797145315,0.0914285465505895,1.58364762394876,0.202651829694037,-0.117098328298671,6
"steps5",-1.02840901125845e-06,1,0.248078797145315,0.0914285465505895,1.58364762394876,0.202651829694037,-0.121167021198309,6
"inactive_time5",1.17892331014468e-06,0.2333,0.248078797145315,0.0914285465505895,1.58364762394876,0.202651829694037,0.280801567791698,6
"(Intercept)6",0.917085487109867,0.1986,0.171346270000234,-0.00128992374971681,0.992528080458115,0.443069070698115,0.969749585057887,7
"total_sleep_duration6",1.74008856105887e-06,1,0.171346270000234,-0.00128992374971681,0.992528080458115,0.443069070698115,0.313804272063336,7
"awake_time6",-1.06746166365834e-07,1,0.171346270000234,-0.00128992374971681,0.992528080458115,0.443069070698115,-0.0164888808350466,7
"restless_sleep6",-0.000124141908382958,0.3248,0.171346270000234,-0.00128992374971681,0.992528080458115,0.443069070698115,-0.23033670152285,7
"steps6",-1.96058244332492e-06,1,0.171346270000234,-0.00128992374971681,0.992528080458115,0.443069070698115,-0.275483986351581,7
"inactive_time6",-1.27591996436557e-06,0.1323,0.171346270000234,-0.00128992374971681,0.992528080458115,0.443069070698115,-0.36243497293726,7
"(Intercept)7",0.866509553454375,0.5042,0.143670079413289,-0.0347319873756093,0.805316227548488,0.557114198538673,0.870412703718731,8
"total_sleep_duration7",1.26275511399337e-06,1,0.143670079413289,-0.0347319873756093,0.805316227548488,0.557114198538673,0.234991377035627,8
"awake_time7",-1.66163811376024e-06,1,0.143670079413289,-0.0347319873756093,0.805316227548488,0.557114198538673,-0.264862594110471,8
"restless_sleep7",-0.00011088680606533,0.3623,0.143670079413289,-0.0347319873756093,0.805316227548488,0.557114198538673,-0.212309726576627,8
"steps7",1.56430648169321e-06,1,0.143670079413289,-0.0347319873756093,0.805316227548488,0.557114198538673,0.226818453423419,8
"inactive_time7",-5.35862450976749e-07,0.5121,0.143670079413289,-0.0347319873756093,0.805316227548488,0.557114198538673,-0.157074353846919,8
"(Intercept)8",0.838235331842915,0.7805,0.1119976466795,-0.0730028435956045,0.605391080385538,0.696428968427016,0.813420894033979,9
"total_sleep_duration8",-1.30707238995884e-06,1,0.1119976466795,-0.0730028435956045,0.605391080385538,0.696428968427016,-0.241664653124153,9
"awake_time8",-1.2356730412901e-07,1,0.1119976466795,-0.0730028435956045,0.605391080385538,0.696428968427016,-0.0195689920611277,9
"restless_sleep8",0.000195937548371757,0.108,0.1119976466795,-0.0730028435956045,0.605391080385538,0.696428968427016,0.372724884269897,9
"steps8",6.66502730952622e-07,1,0.1119976466795,-0.0730028435956045,0.605391080385538,0.696428968427016,0.0960150197415234,9
"inactive_time8",1.64972483289252e-07,0.8474,0.1119976466795,-0.0730028435956045,0.605391080385538,0.696428968427016,0.0480445543917678,9
"(Intercept)9",0.834514003995613,0.751,0.13771230514463,-0.041930964616905,0.7665876118122,0.582921738362534,0.802767782244749,10
"total_sleep_duration9",-5.29421186845473e-07,1,0.13771230514463,-0.041930964616905,0.7665876118122,0.582921738362534,-0.102476050080589,10
"awake_time9",1.53760140003597e-06,1,0.13771230514463,-0.041930964616905,0.7665876118122,0.582921738362534,0.254927225046371,10
"restless_sleep9",0.000164336894697926,0.1743,0.13771230514463,-0.041930964616905,0.7665876118122,0.582921738362534,0.327275400262623,10
"steps9",-5.69750336060813e-07,1,0.13771230514463,-0.041930964616905,0.7665876118122,0.582921738362534,-0.08592695062889,10
"inactive_time9",2.35921691384453e-07,0.7884,0.13771230514463,-0.041930964616905,0.7665876118122,0.582921738362534,0.0719296750913638,10
"(Intercept)10",0.848901419782147,1,0.100254242098214,-0.0871927907979915,0.534840378901742,0.747819505290026,0.829032224336941,11
"total_sleep_duration10",4.04965303863268e-07,1,0.100254242098214,-0.0871927907979915,0.534840378901742,0.747819505290026,0.086806557496498,11
