"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.437971494857607,0.918,0.0997311731484364,-0.0878248324456392,0.531740761019847,0.750078382290097,0.319255272812445,1
"total_sleep_duration",2.93661010760867e-06,1,0.0997311731484364,-0.0878248324456392,0.531740761019847,0.750078382290097,0.252860933948726,1
"awake_time",2.56778790221998e-06,1,0.0997311731484364,-0.0878248324456392,0.531740761019847,0.750078382290097,0.189385179397444,1
"restless_sleep",-0.000108240838939416,0.6765,0.0997311731484364,-0.0878248324456392,0.531740761019847,0.750078382290097,-0.0958923196702055,1
"steps",3.30795837739394e-06,1,0.0997311731484364,-0.0878248324456392,0.531740761019847,0.750078382290097,0.221931646231621,1
"inactive_time",8.52481369626822e-07,0.6693,0.0997311731484364,-0.0878248324456392,0.531740761019847,0.750078382290097,0.115621742570936,1
"(Intercept)1",0.394391600182582,0.8124,0.157357509605208,-0.0181930092270406,0.896365961501798,0.499326488853707,0.27031141906005,2
"total_sleep_duration1",4.38682985794021e-06,1,0.157357509605208,-0.0181930092270406,0.896365961501798,0.499326488853707,0.235484518846347,2
"awake_time1",-3.4137694828639e-06,1,0.157357509605208,-0.0181930092270406,0.896365961501798,0.499326488853707,-0.156962950957178,2
"restless_sleep1",-3.5021914204285e-05,0.9388,0.157357509605208,-0.0181930092270406,0.896365961501798,0.499326488853707,-0.0193423250145938,2
"steps1",7.47694589988974e-06,1,0.157357509605208,-0.0181930092270406,0.896365961501798,0.499326488853707,0.312722809077202,2
"inactive_time1",-9.64750184795735e-07,0.7398,0.157357509605208,-0.0181930092270406,0.896365961501798,0.499326488853707,-0.0815728444284398,2
"(Intercept)2",0.644524937873229,0.2626,0.0738325968588086,-0.119118945462273,0.382648389179223,0.855679507296234,0.744846389907678,3
"total_sleep_duration2",2.4606279173206e-06,1,0.0738325968588086,-0.119118945462273,0.382648389179223,0.855679507296234,0.17174739517407,3
"awake_time2",-1.26221787129261e-06,1,0.0738325968588086,-0.119118945462273,0.382648389179223,0.855679507296234,-0.0754622812144565,3
"restless_sleep2",-0.00026538567252112,0.4108,0.0738325968588086,-0.119118945462273,0.382648389179223,0.855679507296234,-0.190580697078352,3
"steps2",-3.64681327298266e-06,1,0.0738325968588086,-0.119118945462273,0.382648389179223,0.855679507296234,-0.198326838370924,3
"inactive_time2",-1.58150511526524e-06,0.4761,0.0738325968588086,-0.119118945462273,0.382648389179223,0.855679507296234,-0.173873733022514,3
