"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","node"
"(Intercept)",0.888273771631451,0.5691,0.0672043043569468,-0.127128132235356,0.345821343751981,0.87983415971147,0.916603244687384,1
"total_sleep_duration",-2.00481450965334e-06,1,0.0672043043569468,-0.127128132235356,0.345821343751981,0.87983415971147,-0.267947558048491,1
"awake_time",-1.24843133421662e-06,1,0.0672043043569468,-0.127128132235356,0.345821343751981,0.87983415971147,-0.142919556512717,1
"restless_sleep",0.000157146290156288,0.3771,0.0672043043569468,-0.127128132235356,0.345821343751981,0.87983415971147,0.216091142588458,1
"steps",1.41769327975495e-07,1,0.0672043043569468,-0.127128132235356,0.345821343751981,0.87983415971147,0.0147632385452004,1
"inactive_time",-3.82570991832704e-07,0.7511,0.0672043043569468,-0.127128132235356,0.345821343751981,0.87983415971147,-0.0805391068217585,1
"(Intercept)1",0.893867679693463,0.3982,0.125753544947993,-0.0563811331878414,0.690442623201098,0.635503196573433,0.925112955276207,2
"total_sleep_duration1",-5.6527310842398e-07,1,0.125753544947993,-0.0563811331878414,0.690442623201098,0.635503196573433,-0.121637645465629,2
"awake_time1",-1.35049531707475e-06,1,0.125753544947993,-0.0563811331878414,0.690442623201098,0.635503196573433,-0.24891676893356,2
"restless_sleep1",0.000121132731277484,0.2654,0.125753544947993,-0.0563811331878414,0.690442623201098,0.635503196573433,0.26818125307044,2
"steps1",-1.38249755863074e-06,1,0.125753544947993,-0.0563811331878414,0.690442623201098,0.635503196573433,-0.231791658251987,2
"inactive_time1",-6.92648611206016e-07,0.3577,0.125753544947993,-0.0563811331878414,0.690442623201098,0.635503196573433,-0.234769574488879,2
"(Intercept)2",0.878607123279251,0.1083,0.297065470264793,0.150620776569958,2.0285164506119,0.110632613694729,0.89579680933948,3
"total_sleep_duration2",-1.00683593707848e-06,1,0.297065470264793,0.150620776569958,2.0285164506119,0.110632613694729,-0.191497156464546,3
"awake_time2",-3.21078107265493e-06,1,0.297065470264793,0.150620776569958,2.0285164506119,0.110632613694729,-0.523077100961214,3
"restless_sleep2",1.23202180266202e-06,1,0.297065470264793,0.150620776569958,2.0285164506119,0.110632613694729,0.00241090024406172,3
"steps2",1.92548491379486e-06,1,0.297065470264793,0.150620776569958,2.0285164506119,0.110632613694729,0.285343176239557,3
"inactive_time2",-5.28317692716905e-08,0.9421,0.297065470264793,0.150620776569958,2.0285164506119,0.110632613694729,-0.0158277047914516,3
"(Intercept)3",0.943911121544546,0.0624,0.308495388696581,0.164431928008369,2.14138538129553,0.0949412621628211,1.03151028743305,4
"total_sleep_duration3",1.95846166585113e-07,1,0.308495388696581,0.164431928008369,2.14138538129553,0.0949412621628211,0.0247684867110645,4
"awake_time3",-4.33483483719382e-06,1,0.308495388696581,0.164431928008369,2.14138538129553,0.0949412621628211,-0.469578652988042,4
"restless_sleep3",-9.88210463930269e-05,0.5204,0.308495388696581,0.164431928008369,2.14138538129553,0.0949412621628211,-0.12858522600197,4
"steps3",-2.95255785093369e-06,1,0.308495388696581,0.164431928008369,2.14138538129553,0.0949412621628211,-0.290942096150324,4
"inactive_time3",-5.91891078166022e-07,0.6026,0.308495388696581,0.164431928008369,2.14138538129553,0.0949412621628211,-0.117908565882706,4
"(Intercept)4",0.86500807018529,0.2974,0.198687413542166,0.0317472913634502,1.19017172713857,0.343409703927727,0.871760085362238,5
"total_sleep_duration4",1.13757227376593e-06,1,0.198687413542166,0.0317472913634502,1.19017172713857,0.343409703927727,0.170001641688729,5
"awake_time4",-1.8821342118183e-06,1,0.198687413542166,0.0317472913634502,1.19017172713857,0.343409703927727,-0.240921799750152,5
"restless_sleep4",-0.000221944381554781,0.1221,0.198687413542166,0.0317472913634502,1.19017172713857,0.343409703927727,-0.341252230610042,5
"steps4",5.65754498848685e-07,1,0.198687413542166,0.0317472913634502,1.19017172713857,0.343409703927727,0.0658757970552295,5
"inactive_time4",5.0273311210322e-07,0.6185,0.198687413542166,0.0317472913634502,1.19017172713857,0.343409703927727,0.118339784222045,5
"(Intercept)5",0.852122099276356,0.1128,0.347171080685356,0.211165055828138,2.55261545251267,0.0547110392531365,0.839140450909837,6
"total_sleep_duration5",-4.07655739241401e-07,1,0.347171080685356,0.211165055828138,2.55261545251267,0.0547110392531365,-0.0746874295521834,6
"awake_time5",3.80110189314054e-06,1,0.347171080685356,0.211165055828138,2.55261545251267,0.0547110392531365,0.596506054930825,6
"restless_sleep5",5.33488999605701e-06,0.9567,0.347171080685356,0.211165055828138,2.55261545251267,0.0547110392531365,0.0100562635641519,6
"steps5",-2.16272608851413e-06,1,0.347171080685356,0.211165055828138,2.55261545251267,0.0547110392531365,-0.308730275837365,6
"inactive_time5",8.18604770043207e-07,0.2738,0.347171080685356,0.211165055828138,2.55261545251267,0.0547110392531365,0.236236711498583,6
"(Intercept)6",0.993774394863773,0.0131,0.364069550882422,0.231584040649594,2.74799523542318,0.0422882850715606,1.12835020765639,7
"total_sleep_duration6",9.28974607935363e-07,1,0.364069550882422,0.231584040649594,2.74799523542318,0.0422882850715606,0.129338105369595,7
"awake_time6",-1.83891281043049e-06,1,0.364069550882422,0.231584040649594,2.74799523542318,0.0422882850715606,-0.21929825832984,7
"restless_sleep6",-7.33665142253408e-05,0.6051,0.364069550882422,0.231584040649594,2.74799523542318,0.0422882850715606,-0.105093961567854,7
"steps6",-5.49011088393307e-06,1,0.364069550882422,0.231584040649594,2.74799523542318,0.0422882850715606,-0.595562737231237,7
