"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.695761712582215,0.1728,0.195561553899382,0.027970210961753,1.16689532091262,0.354048267958673,0.749068796957113,1
"total_sleep_duration",1.53612022631097e-08,1,0.195561553899382,0.027970210961753,1.16689532091262,0.354048267958673,0.00244286297426734,1
"awake_time",1.4260464679593e-06,1,0.195561553899382,0.027970210961753,1.16689532091262,0.354048267958673,0.19424907957975,1
"restless_sleep",-0.000233120256916064,0.101,0.195561553899382,0.027970210961753,1.16689532091262,0.354048267958673,-0.381426742510274,1
"steps",-3.38575305955022e-07,1,0.195561553899382,0.027970210961753,1.16689532091262,0.354048267958673,-0.0419520250115089,1
"inactive_time",-1.87950505158345e-07,0.8429,0.195561553899382,0.027970210961753,1.16689532091262,0.354048267958673,-0.0470800117201119,1
"(Intercept)1",0.655649989544234,0.3213,0.199586941974613,0.032834221552658,1.19690366351789,0.340385867801269,0.681765587554077,2
"total_sleep_duration1",1.57443074331542e-06,1,0.199586941974613,0.032834221552658,1.19690366351789,0.340385867801269,0.167062695120857,2
"awake_time1",-1.21382381942122e-06,1,0.199586941974613,0.032834221552658,1.19690366351789,0.340385867801269,-0.110322214360956,2
"restless_sleep1",-0.000289805515448537,0.1526,0.199586941974613,0.032834221552658,1.19690366351789,0.340385867801269,-0.316387848185268,2
"steps1",3.89328520421839e-06,1,0.199586941974613,0.032834221552658,1.19690366351789,0.340385867801269,0.321881406993035,2
"inactive_time1",-1.06799640386384e-06,0.4751,0.199586941974613,0.032834221552658,1.19690366351789,0.340385867801269,-0.178502736225985,2
"(Intercept)2",0.696629918614677,0.2369,0.114669359228309,-0.069774524265793,0.621703235997933,0.684616265205947,0.755779662937415,3
"total_sleep_duration2",1.14631011648908e-06,1,0.114669359228309,-0.069774524265793,0.621703235997933,0.684616265205947,0.19411880509764,3
"awake_time2",-5.51010711986244e-07,1,0.114669359228309,-0.069774524265793,0.621703235997933,0.684616265205947,-0.0799239462178806,3
"restless_sleep2",-0.0001163978586248,0.3906,0.114669359228309,-0.069774524265793,0.621703235997933,0.684616265205947,-0.20279988351842,3
"steps2",-8.76592922152017e-07,1,0.114669359228309,-0.069774524265793,0.621703235997933,0.684616265205947,-0.115661066809264,3
"inactive_time2",-1.41161492807867e-06,0.1255,0.114669359228309,-0.069774524265793,0.621703235997933,0.684616265205947,-0.376531133854423,3
