"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.74208594703753,0.0169,0.227075106493755,0.137891464935342,2.54615199072161,0.0778303862705346,0.846386901290068,1
"total_sleep_duration",-3.29424686344524e-06,1,0.227075106493755,0.137891464935342,2.54615199072161,0.0778303862705346,-0.365704365885984,1
"awake_time",-3.40740213945546e-06,1,0.227075106493755,0.137891464935342,2.54615199072161,0.0778303862705346,-0.324002818839557,1
"restless_sleep",-7.34804934932877e-05,0.691,0.227075106493755,0.137891464935342,2.54615199072161,0.0778303862705346,-0.0839273083057832,1
"(Intercept)1",0.720585816211838,0.0608,0.1350806351587,0.0352822469077807,1.35353523765406,0.278851145908577,0.820980100165611,2
"total_sleep_duration1",-2.86632824738096e-06,1,0.1350806351587,0.0352822469077807,1.35353523765406,0.278851145908577,-0.245737612684879,2
"awake_time1",-3.7519326648404e-06,1,0.1350806351587,0.0352822469077807,1.35353523765406,0.278851145908577,-0.275519371852542,2
"restless_sleep1",-9.31378320216484e-05,0.7218,0.1350806351587,0.0352822469077807,1.35353523765406,0.278851145908577,-0.0821540659321348,2
"(Intercept)2",0.62503934848859,0.3092,0.167695473423396,0.0716603357414806,1.74618871249846,0.182231053166288,0.614821883559989,3
"total_sleep_duration2",-1.25351133110096e-06,1,0.167695473423396,0.0716603357414806,1.74618871249846,0.182231053166288,-0.186163642007668,3
"awake_time2",2.58928768382368e-06,1,0.167695473423396,0.0716603357414806,1.74618871249846,0.182231053166288,0.329380815894364,3
"restless_sleep2",0.00012701032730552,0.37,0.167695473423396,0.0716603357414806,1.74618871249846,0.182231053166288,0.194071992261423,3
"(Intercept)3",0.687098864050992,0.0979,0.22699421984812,0.137801245215211,2.54497869122942,0.0779257600021265,0.742328667121813,4
"total_sleep_duration3",4.28840815273105e-06,1,0.22699421984812,0.137801245215211,2.54497869122942,0.0779257600021265,0.320366794146118,4
"awake_time3",1.38970868701314e-06,1,0.22699421984812,0.137801245215211,2.54497869122942,0.0779257600021265,0.0889255474487122,4
"restless_sleep3",-0.00073746227043569,0.0098,0.22699421984812,0.137801245215211,2.54497869122942,0.0779257600021265,-0.56682424065431,4
