"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","node"
"(Intercept)",0.852411306279829,1,0.101426781885443,-0.00225474328162156,0.978253181769959,0.418131968084062,0.819612606617179,1
"total_sleep_duration",1.28252264807359e-07,1,0.101426781885443,-0.00225474328162156,0.978253181769959,0.418131968084062,0.0256165307446328,1
"awake_time",1.16686381896301e-06,1,0.101426781885443,-0.00225474328162156,0.978253181769959,0.418131968084062,0.199630473278684,1
"restless_sleep",0.000116521014056577,0.2831,0.101426781885443,-0.00225474328162156,0.978253181769959,0.418131968084062,0.239451053226612,1
"(Intercept)1",0.854664271719286,0.5299,0.135972220953867,0.0362767079870054,1.36387503215981,0.275740989127062,0.823792570078853,2
"total_sleep_duration1",1.29809179628116e-06,1,0.135972220953867,0.0362767079870054,1.36387503215981,0.275740989127062,0.202453693485394,2
"awake_time1",2.77562607102908e-06,1,0.135972220953867,0.0362767079870054,1.36387503215981,0.275740989127062,0.37079395899056,2
"restless_sleep1",-4.80433439213517e-05,0.7333,0.135972220953867,0.0362767079870054,1.36387503215981,0.275740989127062,-0.077092255671462,2
"(Intercept)2",0.87185882362125,0.746,0.0762930596521689,-0.0302885103879655,0.71581850054789,0.551474859438862,0.854326227204956,3
"total_sleep_duration2",1.17689294570285e-06,1,0.0762930596521689,-0.0302885103879655,0.71581850054789,0.551474859438862,0.323778347517243,3
"awake_time2",6.03572582489296e-07,1,0.0762930596521689,-0.0302885103879655,0.71581850054789,0.551474859438862,0.142230173208123,3
"restless_sleep2",-5.37338427646622e-05,0.511,0.0762930596521689,-0.0302885103879655,0.71581850054789,0.551474859438862,-0.152095361371994,3
"(Intercept)3",0.88419099500634,0.4991,0.0775950953233144,-0.0288362398316877,0.729062500346427,0.543958101997145,0.885013119187564,4
"total_sleep_duration3",-1.49466167181589e-07,1,0.0775950953233144,-0.0288362398316877,0.729062500346427,0.543958101997145,-0.0334772168208694,4
"awake_time3",1.37729245687999e-06,1,0.0775950953233144,-0.0288362398316877,0.729062500346427,0.543958101997145,0.264231146405774,4
"restless_sleep3",-1.6098689103199e-05,0.8603,0.0775950953233144,-0.0288362398316877,0.729062500346427,0.543958101997145,-0.0370983152169004,4
"(Intercept)4",0.88131222474384,0.6342,0.0689908732390461,-0.0384332567718333,0.642228829147224,0.59477925670017,0.873900583838721,5
"total_sleep_duration4",1.24431536498172e-07,1,0.0689908732390461,-0.0384332567718333,0.642228829147224,0.59477925670017,0.0386157773161226,5
"awake_time4",1.00798145946135e-06,1,0.0689908732390461,-0.0384332567718333,0.642228829147224,0.59477925670017,0.26794043261401,5
"restless_sleep4",1.20034542105319e-06,0.9881,0.0689908732390461,-0.0384332567718333,0.642228829147224,0.59477925670017,0.00383263784794565,5
"(Intercept)5",0.859709956809314,0.5223,0.136665675951734,0.0370501770230875,1.37193185218724,0.273341475310517,0.831186095974178,6
"total_sleep_duration5",8.69289279606856e-07,1,0.136665675951734,0.0370501770230875,1.37193185218724,0.273341475310517,0.255955254200449,6
"awake_time5",1.15235518073964e-06,1,0.136665675951734,0.0370501770230875,1.37193185218724,0.273341475310517,0.290628015770564,6
"restless_sleep5",1.89411632482637e-05,0.7812,0.136665675951734,0.0370501770230875,1.37193185218724,0.273341475310517,0.0573804036291905,6
"(Intercept)6",0.928760053741031,0.0503,0.212296561996531,0.121407703765361,2.33578203234294,0.0970573838121745,0.976128913187336,7
"total_sleep_duration6",-6.59112656645456e-07,1,0.212296561996531,0.121407703765361,2.33578203234294,0.0970573838121745,-0.0988583005690746,7
"awake_time6",2.04229491543651e-06,1,0.212296561996531,0.121407703765361,2.33578203234294,0.0970573838121745,0.262375535577503,7
"restless_sleep6",-0.000194140592770949,0.1867,0.212296561996531,0.121407703765361,2.33578203234294,0.0970573838121745,-0.299589830225134,7
"(Intercept)7",0.904815673342629,0.2486,0.114067976094182,0.0118450502588947,1.11587469407773,0.360655911343755,0.921209637402841,8
"total_sleep_duration7",5.74156261772269e-08,1,0.114067976094182,0.0118450502588947,1.11587469407773,0.360655911343755,0.0163217660388372,8
"awake_time7",7.79465756518775e-07,1,0.114067976094182,0.0118450502588947,1.11587469407773,0.360655911343755,0.189795309809314,8
"restless_sleep7",-9.86591254390829e-05,0.1702,0.114067976094182,0.0118450502588947,1.11587469407773,0.360655911343755,-0.288556944338775,8
"(Intercept)8",0.885163512726904,0.7864,0.041795307315749,-0.068766772609357,0.378025696912187,0.769602167152246,0.883195050905617,9
"total_sleep_duration8",2.00070647047969e-08,1,0.041795307315749,-0.068766772609357,0.378025696912187,0.769602167152246,0.00577125120980542,9
"awake_time8",8.24858436569204e-07,1,0.041795307315749,-0.068766772609357,0.378025696912187,0.769602167152246,0.203806211202208,9
"restless_sleep8",-9.61695360880963e-06,1,0.041795307315749,-0.068766772609357,0.378025696912187,0.769602167152246,-0.0285417993937186,9
"(Intercept)9",0.882173942655527,0.4654,0.102680444353357,-0.000856427452025521,0.991728285420529,0.412145294540424,0.877855222849189,10
"total_sleep_duration9",2.3623009988825e-07,1,0.102680444353357,-0.000856427452025521,0.991728285420529,0.412145294540424,0.0692997940000571,10
