"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.482064523671532,0.1301,0.120698004819524,0.0192400822986997,1.18963607592843,0.33303745966658,0.592962148765451,1
"total_sleep_duration",-4.83794567553662e-06,1,0.120698004819524,0.0192400822986997,1.18963607592843,0.33303745966658,-0.251535982551924,1
"awake_time",-7.33340374529805e-06,1,0.120698004819524,0.0192400822986997,1.18963607592843,0.33303745966658,-0.326584915692222,1
"restless_sleep",0.000137443041628173,0.7362,0.120698004819524,0.0192400822986997,1.18963607592843,0.33303745966658,0.0735223054407399,1
"(Intercept)1",0.382317777039778,0.2327,0.053339180359547,-0.0558909142143516,0.488319455985282,0.693386127932676,0.498134257996606,2
"total_sleep_duration1",-8.34368492931314e-06,1,0.053339180359547,-0.0558909142143516,0.488319455985282,0.693386127932676,-0.280148018831566,2
"awake_time1",-2.74927946135791e-06,1,0.053339180359547,-0.0558909142143516,0.488319455985282,0.693386127932676,-0.0790678518715935,2
"restless_sleep1",0.000389650514713928,0.5849,0.053339180359547,-0.0558909142143516,0.488319455985282,0.693386127932676,0.134605293747456,2
"(Intercept)2",0.32693599358837,0.614,0.00185690708844184,-0.113313449785969,0.0161231339281751,0.997136634526357,0.313358811498469,3
"total_sleep_duration2",-5.84599369796968e-07,1,0.00185690708844184,-0.113313449785969,0.0161231339281751,0.997136634526357,-0.0231151997299307,3
"awake_time2",4.53440793413566e-08,1,0.00185690708844184,-0.113313449785969,0.0161231339281751,0.997136634526357,0.00153571734309232,3
"restless_sleep2",0.000124104791593742,0.8334,0.00185690708844184,-0.113313449785969,0.0161231339281751,0.997136634526357,0.0504876415200789,3
"(Intercept)3",0.446783884825313,0.1953,0.146885555792053,0.0484492737680591,1.49218918849708,0.239908802639297,0.572479149765709,4
"total_sleep_duration3",4.19950771235838e-06,1,0.146885555792053,0.0484492737680591,1.49218918849708,0.239908802639297,0.135631176488019,4
"awake_time3",7.40677110079953e-06,1,0.146885555792053,0.0484492737680591,1.49218918849708,0.239908802639297,0.204899765795163,4
"restless_sleep3",-0.00118037397936942,0.0794,0.146885555792053,0.0484492737680591,1.49218918849708,0.239908802639297,-0.392227463426652,4
