"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","node"
"(Intercept)",0.885071587080189,0.4597,0.0463245826886824,-0.0637148885395464,0.420981509376778,0.739492620411507,0.907181923998496,1
"total_sleep_duration",-7.40844035245432e-07,1,0.0463245826886824,-0.0637148885395464,0.420981509376778,0.739492620411507,-0.151245501794894,1
"awake_time",-1.05233970828342e-06,1,0.0463245826886824,-0.0637148885395464,0.420981509376778,0.739492620411507,-0.184019153872444,1
"restless_sleep",-4.41444413943591e-06,0.9693,0.0463245826886824,-0.0637148885395464,0.420981509376778,0.739492620411507,-0.00927233108624667,1
"(Intercept)1",0.816445142230061,0.6843,0.13927550140704,0.0399611361847758,1.40237015154196,0.264462493064476,0.770216486534075,2
"total_sleep_duration1",2.0691211583647e-06,1,0.13927550140704,0.0399611361847758,1.40237015154196,0.264462493064476,0.376699429853219,2
"awake_time1",5.26448698718872e-08,1,0.13927550140704,0.0399611361847758,1.40237015154196,0.264462493064476,0.00820949590446601,2
"restless_sleep1",-1.83249130309728e-06,1,0.13927550140704,0.0399611361847758,1.40237015154196,0.264462493064476,-0.00343248137779478,2
"(Intercept)2",0.786217168354683,0.506,0.218492767854373,0.128318856452955,2.42301530962465,0.0885413005798566,0.715187065261432,3
"total_sleep_duration2",3.65308522518479e-07,1,0.218492767854373,0.128318856452955,2.42301530962465,0.0885413005798566,0.0544342155545089,3
"awake_time2",6.27509893379385e-07,1,0.218492767854373,0.128318856452955,2.42301530962465,0.0885413005798566,0.0800910771673328,3
"restless_sleep2",0.000281688780391869,0.0318,0.218492767854373,0.128318856452955,2.42301530962465,0.0885413005798566,0.431855982580582,3
"(Intercept)3",0.772350004550747,0.938,0.121027722544419,0.0196078443764676,1.19333334579634,0.33170837102157,0.698281477065975,4
"total_sleep_duration3",1.20035576462043e-06,1,0.121027722544419,0.0196078443764676,1.19333334579634,0.33170837102157,0.125612006594722,4
"awake_time3",2.85542752861497e-06,1,0.121027722544419,0.0196078443764676,1.19333334579634,0.33170837102157,0.255943265013731,4
"restless_sleep3",0.000162994663094421,0.4313,0.121027722544419,0.0196078443764676,1.19333334579634,0.33170837102157,0.17548976073987,4
"(Intercept)4",0.760892990658496,0.9142,0.157675156527766,0.0604838284348159,1.62231713077294,0.208350894632867,0.667627985371556,5
"total_sleep_duration4",5.9624869259566e-07,1,0.157675156527766,0.0604838284348159,1.62231713077294,0.208350894632867,0.0579672047258506,5
"awake_time4",6.24488511338341e-07,1,0.157675156527766,0.0604838284348159,1.62231713077294,0.208350894632867,0.0520032833457911,5
"restless_sleep4",0.000361667282247289,0.1208,0.157675156527766,0.0604838284348159,1.62231713077294,0.208350894632867,0.361760685363633,5
