"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.74710853437647,0.9295,0.0213020020038503,-0.0916246900726285,0.188635668079462,0.903170774247636,0.714338941822408,1
"total_sleep_duration",4.39665912354248e-07,1,0.0213020020038503,-0.0916246900726285,0.188635668079462,0.903170774247636,0.0460773097583512,1
"awake_time",-1.23608129240209e-08,1,0.0213020020038503,-0.0916246900726285,0.188635668079462,0.903170774247636,-0.00110959053998662,1
"restless_sleep",0.00010759977111014,0.6264,0.0213020020038503,-0.0916246900726285,0.188635668079462,0.903170774247636,0.116020008476948,1
"(Intercept)1",0.770502977363605,1,0.0363386489039098,-0.0748530454533314,0.326810820843862,0.805956068877121,0.74347513307755,2
"total_sleep_duration1",4.5254527618109e-07,1,0.0363386489039098,-0.0748530454533314,0.326810820843862,0.805956068877121,0.080757954176016,2
"awake_time1",3.21795938220687e-07,1,0.0363386489039098,-0.0748530454533314,0.326810820843862,0.805956068877121,0.0491875536577357,2
"restless_sleep1",7.25642438249176e-05,0.5939,0.0363386489039098,-0.0748530454533314,0.326810820843862,0.805956068877121,0.133230351265113,2
"(Intercept)2",0.8035742035445,0.5477,0.013044207696694,-0.100835306799841,0.114543934915449,0.950794545020074,0.827504375874068,3
"total_sleep_duration2",-1.3131106542832e-06,1,0.013044207696694,-0.100835306799841,0.114543934915449,0.950794545020074,-0.132341425826463,3
"awake_time2",-3.90096930418078e-07,1,0.013044207696694,-0.100835306799841,0.114543934915449,0.950794545020074,-0.0336758378765337,3
"restless_sleep2",3.3736958249679e-05,0.8877,0.013044207696694,-0.100835306799841,0.114543934915449,0.950794545020074,0.0349830470634769,3
"(Intercept)3",0.756722875885639,0.825,0.0525929181470107,-0.0567232836052574,0.481108173390406,0.698248639208746,0.733476060533384,4
"total_sleep_duration3",5.60084251090972e-07,1,0.0525929181470107,-0.0567232836052574,0.481108173390406,0.698248639208746,0.0713169057240736,4
"awake_time3",2.12846471598252e-06,1,0.0525929181470107,-0.0567232836052574,0.481108173390406,0.698248639208746,0.232143741049766,4
"restless_sleep3",6.89107765246124e-06,1,0.0525929181470107,-0.0567232836052574,0.481108173390406,0.698248639208746,0.00902783267473699,4
