"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas"
"(Intercept)",0.164558877784434,0.5976,0.0517366623207792,-0.0576783381806694,0.472847983216837,0.70384195651871,0.160187251141885
"total_sleep_duration",2.52771501577938e-07,1,0.0517366623207792,-0.0576783381806694,0.472847983216837,0.70384195651871,0.0432289675710034
"awake_time",1.56450239539808e-06,1,0.0517366623207792,-0.0576783381806694,0.472847983216837,0.70384195651871,0.229178767977767
"restless_sleep",-3.78180059447085e-05,0.7763,0.0517366623207792,-0.0576783381806694,0.472847983216837,0.70384195651871,-0.066543035358381
