"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.873716339607332,0.142,0.203415245887501,0.111501620412981,2.21311307042167,0.110509243635814,0.866083617407235,1
"total_sleep_duration",-2.56044682534381e-07,1,0.203415245887501,0.111501620412981,2.21311307042167,0.110509243635814,-0.209565614035709,1
"awake_time",1.47316009901188e-07,1,0.203415245887501,0.111501620412981,2.21311307042167,0.110509243635814,0.103277473097058,1
"restless_sleep",5.96695660861403e-05,0.0241,0.203415245887501,0.111501620412981,2.21311307042167,0.110509243635814,0.502474896431684,1
"(Intercept)1",0.881015519441511,0.228,0.157822103082862,0.0606477303616534,1.62411239366217,0.20794629211796,0.880768620542507,2
"total_sleep_duration1",-5.11007071672451e-07,1,0.157822103082862,0.0606477303616534,1.62411239366217,0.20794629211796,-0.380070501067351,2
"awake_time1",9.62713710956541e-08,1,0.157822103082862,0.0606477303616534,1.62411239366217,0.20794629211796,0.061331813035758,2
"restless_sleep1",5.28841346779157e-05,0.0746,0.157822103082862,0.0606477303616534,1.62411239366217,0.20794629211796,0.404687585764334,2
"(Intercept)2",0.884768486485061,0.2804,0.136627093839785,0.0370071431289913,1.37148325074388,0.273474531547652,0.887310705662784,3
"total_sleep_duration2",-3.4819090038458e-07,1,0.136627093839785,0.0370071431289913,1.37148325074388,0.273474531547652,-0.346032010639508,3
"awake_time2",-3.14277384438611e-07,1,0.136627093839785,0.0370071431289913,1.37148325074388,0.273474531547652,-0.267524389778554,3
"restless_sleep2",3.10434375377335e-05,0.1683,0.136627093839785,0.0370071431289913,1.37148325074388,0.273474531547652,0.317413863762877,3
"(Intercept)3",0.870252819325701,0.0854,0.230696562110283,0.141930780815316,2.59893574691447,0.0736642081055838,0.858860568203739,4
"total_sleep_duration3",2.26602673066997e-07,1,0.230696562110283,0.141930780815316,2.59893574691447,0.0736642081055838,0.242988014766098,4
"awake_time3",2.56027270566158e-07,1,0.230696562110283,0.141930780815316,2.59893574691447,0.0736642081055838,0.235156746775258,4
"restless_sleep3",2.43764101841556e-05,0.1859,0.230696562110283,0.141930780815316,2.59893574691447,0.0736642081055838,0.268934673982685,4
