"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.552498716096432,0.0189,0.262181580066315,0.177048685458582,3.07967421141229,0.0449634934043105,0.717613284594431,1
"total_sleep_duration",-5.54052681684381e-06,1,0.262181580066315,0.177048685458582,3.07967421141229,0.0449634934043105,-0.327330219267336,1
"awake_time",-9.27758256556173e-06,1,0.262181580066315,0.177048685458582,3.07967421141229,0.0449634934043105,-0.469484502595243,1
"restless_sleep",-3.32284856830833e-06,1,0.262181580066315,0.177048685458582,3.07967421141229,0.0449634934043105,-0.00201977418093919,1
"(Intercept)1",0.612307727582107,0.0106,0.214094672931135,0.123413289038574,2.3609550686257,0.0945152380237252,0.925610158825248,2
"total_sleep_duration1",-8.45891797814677e-06,1,0.214094672931135,0.123413289038574,2.3609550686257,0.0945152380237252,-0.307121891256248,2
"awake_time1",-9.9098122269808e-06,1,0.214094672931135,0.123413289038574,2.3609550686257,0.0945152380237252,-0.308185909089968,2
"restless_sleep1",-0.000378224119163166,0.5156,0.214094672931135,0.123413289038574,2.3609550686257,0.0945152380237252,-0.141287065880707,2
"(Intercept)2",0.420183195297498,0.1651,0.197176106755591,0.104542580612005,2.12856095373029,0.120903361274287,0.470879662263928,3
"total_sleep_duration2",-2.92396778031255e-06,1,0.197176106755591,0.104542580612005,2.12856095373029,0.120903361274287,-0.197394155275534,3
"awake_time2",5.98524005659768e-06,1,0.197176106755591,0.104542580612005,2.12856095373029,0.120903361274287,0.346094480500927,3
"restless_sleep2",-5.18206780376408e-05,0.8597,0.197176106755591,0.104542580612005,2.12856095373029,0.120903361274287,-0.0359933296610283,3
"(Intercept)3",0.373093491296276,0.3174,0.236357794283438,0.148245232085374,2.68245285788125,0.0675447187394167,0.389674734895119,4
"total_sleep_duration3",9.68842068013972e-06,1,0.236357794283438,0.148245232085374,2.68245285788125,0.0675447187394167,0.443297451166254,4
"awake_time3",3.86033599730714e-06,1,0.236357794283438,0.148245232085374,2.68245285788125,0.0675447187394167,0.151292969013826,4
"restless_sleep3",-0.00117378309638885,0.0128,0.236357794283438,0.148245232085374,2.68245285788125,0.0675447187394167,-0.552570026702585,4
