"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.450795837539468,0.4166,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,0.456360176418867,1
"total_sleep_duration",0.0118447092424877,0.7241,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,0.135793329793279,1
"awake_time",0.0222187926723599,0.2688,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,0.401752699955154,1
"restless_sleep",0.00763313304080655,0.841,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,0.06787197829089,1
"pa_mean",-0.0192201080636616,0.3538,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,-0.247789841917165,1
"pa_std",-0.0134341486143703,0.4916,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,-0.201369052960429,1
"na_mean",-0.029155988539344,0.193,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,-0.384187262959331,1
"stress_mean",0.00173569250595924,0.9117,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,0.0258885163030496,1
"pain_mean",-0.0234723280053801,0.0552,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,-0.43623981880576,1
"mean_respiratory_rate_brpm",0.00485125846295601,0.8227,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,0.0585721211907895,1
"min_respiratory_rate_brpm",-0.0151348064469969,0.6382,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,-0.141174828720987,1
"max_respiratory_rate_brpm",0.0112892801233493,0.6903,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,0.128539434473646,1
"mean_prv_rmssd_ms",-0.00499541703321053,1,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,-0.0649411988662184,1
"min_prv_rmssd_ms",-0.0316489935007518,0.2882,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,-0.319517737735458,1
"max_prv_rmssd_ms",0.0088492827126479,0.6772,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,0.122162901509649,1
"resting",-0.204279359713358,0.7867,0.541508303109214,0.0502671992976575,1.10232694069701,0.430156308139317,-0.0801832986345069,1
"(Intercept)1",0.335535910568819,0.3973,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,0.365512231384499,2
"total_sleep_duration1",-0.0724628004776679,0.1506,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,-0.582482038413794,2
"awake_time1",-6.81110593534762e-05,1,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,-0.000863513979610178,2
"restless_sleep1",0.0802049200267795,0.169,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,0.500036925572799,2
"pa_mean1",-0.00158887544678294,1,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,-0.0143625289642778,2
"pa_std1",0.0205052029301533,0.4525,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,0.215506334959905,2
"na_mean1",-0.0581701267507039,0.0812,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,-0.537438274266065,2
"stress_mean1",0.00988606626258526,0.7023,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,0.103388272821597,2
"pain_mean1",0.0165544964496483,0.3508,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,0.215724019676458,2
"mean_respiratory_rate_brpm1",-0.0489551075501005,0.1639,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,-0.414426900851325,2
"min_respiratory_rate_brpm1",-0.0377485710115817,0.4252,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,-0.246884772591342,2
"max_respiratory_rate_brpm1",0.0328105995625518,0.4249,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,0.261937508412954,2
"mean_prv_rmssd_ms1",0.059865087677337,0.2357,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,0.545676894001192,2
"min_prv_rmssd_ms1",-0.0375945086894925,0.4025,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,-0.266117155819309,2
"max_prv_rmssd_ms1",-0.0381906785932407,0.2374,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,-0.369659638632247,2
"resting1",-0.942589560907054,0.4074,0.470634664556141,-0.0965424805622803,0.829784254543396,0.63877933149492,-0.259415216275393,2
"(Intercept)2",0.35705394727661,0.6426,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,0.352291914411768,3
"total_sleep_duration2",-0.0144594193278881,0.6115,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,-0.191183249991433,3
"awake_time2",-0.022031547335682,0.2267,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,-0.459439469218345,3
"restless_sleep2",-0.0236204437330287,0.5094,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,-0.242225957897168,3
"pa_mean2",0.0012597456783752,0.9447,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,0.0187307645483185,3
"pa_std2",0.0243644008335001,0.1818,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,0.421195060092787,3
"na_mean2",0.00959547508572153,0.6398,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,0.145823201180679,3
"stress_mean2",-0.0266516662942164,0.1061,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,-0.458462368583556,3
"pain_mean2",-0.0239941097241273,0.0422,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,-0.514302616076565,3
"mean_respiratory_rate_brpm2",-0.00222154159891629,0.9131,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,-0.0309339901486664,3
"min_respiratory_rate_brpm2",0.000138663744628251,1,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,0.00149172331086985,3
"max_respiratory_rate_brpm2",-0.0261901077233299,0.2665,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,-0.3439159946383,3
"mean_prv_rmssd_ms2",0.00735326701855606,0.8034,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,0.110248792669669,3
"min_prv_rmssd_ms2",0.0069341225908801,0.8012,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,0.0807368012565951,3
"max_prv_rmssd_ms2",-0.00299510645249066,0.8801,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,-0.0476857355505587,3
"resting2",0.215753956130586,0.7425,0.48424744831269,-0.0683445713522854,0.876320017444839,0.599911949099343,0.0976704418639092,3
