"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.446192895463949,0.6416,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,0.464076885547565,1
"total_sleep_duration",-0.0538412735265899,0.2281,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,-0.509988724376733,1
"awake_time",-0.0049578812178025,0.8522,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,-0.0740671582097138,1
"restless_sleep",0.0472653672915255,0.401,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,0.347233749473721,1
"pa_mean",-0.0185615526476422,0.5005,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,-0.197712073988976,1
"pa_std",-0.0197446525100149,0.4459,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,-0.244525013186108,1
"na_mean",-0.0430527697136998,0.152,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,-0.46871354566901,1
"stress_mean",-0.0114251012215459,0.6222,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,-0.140794485854666,1
"pain_mean",0.00749413826214985,0.6409,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,0.115075284430158,1
"mean_respiratory_rate_brpm",0.0012738152185595,0.9677,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,0.0127067413258389,1
"min_respiratory_rate_brpm",-0.0033413683113908,1,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,-0.0257511106282669,1
"max_respiratory_rate_brpm",-0.00897621473276368,0.7894,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,-0.0844412367904403,1
"mean_prv_rmssd_ms",0.042745425770568,0.3143,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,0.459123386976391,1
"min_prv_rmssd_ms",-0.0568546439999252,0.1808,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,-0.474233501522421,1
"max_prv_rmssd_ms",-0.0288336922784745,0.3129,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,-0.328868854261519,1
"resting",-1.39603778606312,0.1409,0.434772982106039,-0.170827394208919,0.717920594355649,0.734239887784693,-0.452738909904765,1
"(Intercept)1",0.292145733796152,0.9098,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,0.307568797341408,2
"total_sleep_duration1",-0.0185472772411568,0.7549,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,-0.139768118713899,2
"awake_time1",0.00998280350349848,0.787,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,0.118649194108548,2
"restless_sleep1",0.0563100876727975,0.4416,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,0.329115095034948,2
"pa_mean1",-0.00944759574067334,0.8189,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,-0.0800613479020392,2
"pa_std1",-0.0127747925159088,0.7278,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,-0.125866558246303,2
"na_mean1",-0.0335629513114388,0.4247,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,-0.290702828192721,2
"stress_mean1",0.015475050022024,0.6491,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,0.15171913459934,2
"pain_mean1",0.0103025397661572,0.7008,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,0.125859893739796,2
"mean_respiratory_rate_brpm1",0.00667029001479667,1,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,0.0529364944487381,2
"min_respiratory_rate_brpm1",0.000219789673027195,1,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,0.0013476018655017,2
"max_respiratory_rate_brpm1",0.0239577387088995,0.6327,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,0.17930396025222,2
"mean_prv_rmssd_ms1",0.0182252684779296,0.7725,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,0.155738650977039,2
"min_prv_rmssd_ms1",-0.0280970808930892,0.6507,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,-0.186453351265296,2
"max_prv_rmssd_ms1",-0.0111074413114966,0.7945,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,-0.100790411617624,2
"resting1",-0.071457329071575,0.9573,0.210399294168296,-0.635601462079958,0.248698706962569,0.99435543059739,-0.0184365702327488,2
"(Intercept)2",0.377708625131547,0.317,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,0.411463442889475,3
"total_sleep_duration2",-0.0331122243025982,0.5081,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,-0.252931748119261,3
"awake_time2",-0.056046250516369,0.0824,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,-0.675220887069093,3
"restless_sleep2",0.0296108077350215,0.6315,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,0.175427989949143,3
"pa_mean2",0.00753831566629061,0.8299,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,0.0647534556267113,3
"pa_std2",0.0194209848509413,0.5049,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,0.193961165723613,3
"na_mean2",-0.00348940214147999,1,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,-0.0306356551183575,3
"stress_mean2",-0.0310025750631357,0.2534,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,-0.308100992612034,3
"pain_mean2",-0.0177184053015673,0.3812,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,-0.219409146237054,3
"mean_respiratory_rate_brpm2",-0.0195699488501964,0.5639,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,-0.157429887951299,3
"min_respiratory_rate_brpm2",-0.00309447429734318,1,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,-0.0192321675929151,3
"max_respiratory_rate_brpm2",0.0213242571108367,0.6091,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,0.161772613801271,3
"mean_prv_rmssd_ms2",0.116936644434395,0.0333,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,1.01288499070601,3
"min_prv_rmssd_ms2",-0.0365276974244532,0.4199,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,-0.245707449024723,3
"max_prv_rmssd_ms2",-0.029967986625824,0.3503,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,-0.27564479257652,3
"resting2",0.588689077208818,0.5851,0.505462877676543,-0.0243983248128763,0.95395336609239,0.537558208772046,0.153959455083143,3
