"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.586922772965346,0.5888,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,0.588163727748874,1
"total_sleep_duration",0.00890692419206462,0.7352,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,0.138043466213329,1
"awake_time",0.015898602494192,0.3166,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,0.388625563594897,1
"restless_sleep",-0.00162551215590521,0.9597,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,-0.0195394333036364,1
"pa_mean",-0.0137661990808769,0.3944,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,-0.239925155858892,1
"pa_std",-0.0152384213120152,0.322,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,-0.308785303636416,1
"na_mean",-0.0149900654588694,0.396,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,-0.267025530944342,1
"stress_mean",-0.00282236155628095,0.8222,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,-0.0569090174066769,1
"pain_mean",-0.0152756156798889,0.1104,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,-0.383797311816093,1
"mean_respiratory_rate_brpm",0.00665407645051958,0.7058,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,0.108607143529993,1
"min_respiratory_rate_brpm",-0.00943908254973413,0.7043,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,-0.119026660452867,1
"max_respiratory_rate_brpm",0.00380273031679834,0.8609,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,0.0585328578281604,1
"mean_prv_rmssd_ms",-0.00319036129734667,0.9042,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,-0.0560689580981199,1
"min_prv_rmssd_ms",-0.0285903014035936,0.2228,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,-0.390200543086519,1
"max_prv_rmssd_ms",0.000681589284809806,0.9694,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,0.0127200286588158,1
"resting",-0.39869197127813,0.4765,0.489525216929487,-0.0574120506460634,0.895029916501105,0.584566152700837,-0.211558747403475,1
"(Intercept)1",0.546919657921573,0.5985,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,0.565169080948114,2
"total_sleep_duration1",-0.0559810314075291,0.1722,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,-0.570436874489046,2
"awake_time1",0.00622508428167846,0.8,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,0.100045197477506,2
"restless_sleep1",0.0445253973397566,0.3542,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,0.351890986056342,2
"pa_mean1",-0.0119673669819891,1,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,-0.137132042596569,2
"pa_std1",0.0152198593718481,0.4956,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,0.202771017932214,2
"na_mean1",-0.0334018476281781,0.205,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,-0.391199548313839,2
"stress_mean1",0.0121970363856283,0.5626,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,0.161696773766996,2
"pain_mean1",0.0112892898570569,0.4103,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,0.186486941019911,2
"mean_respiratory_rate_brpm1",-0.0365192163468793,0.1797,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,-0.391895837784956,2
"min_respiratory_rate_brpm1",-0.0191584516927169,0.6115,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,-0.158837655803847,2
"max_respiratory_rate_brpm1",0.0183842941033778,0.5639,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,0.186050035375217,2
"mean_prv_rmssd_ms1",0.0409137590447798,0.3161,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,0.472748976232687,2
"min_prv_rmssd_ms1",-0.0342076265795261,0.3437,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,-0.306952146406539,2
"max_prv_rmssd_ms1",-0.0151536329192414,0.5312,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,-0.185934805746461,2
"resting1",-0.914824194989893,0.2838,0.451456573405218,-0.136268526517762,0.768142407844042,0.69128093571722,-0.319160939836533,2
"(Intercept)2",0.544152475912067,0.9416,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,0.53880567751354,3
"total_sleep_duration2",0.00417480182150353,0.8583,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,0.0813985152504819,3
"awake_time2",-0.00640765997589321,0.6481,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,-0.197044533437759,3
"restless_sleep2",-0.0303863625257544,0.2871,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,-0.459507893736829,3
"pa_mean2",-0.00270689635940672,0.8526,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,-0.0593507056641893,3
"pa_std2",0.0129353512056867,0.3364,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,0.329751962881561,3
"na_mean2",0.00380138971266278,0.8198,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,0.0851891278908145,3
"stress_mean2",-0.0125453893106267,0.3008,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,-0.318232918259507,3
"pain_mean2",-0.014422287104384,0.0999,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,-0.455858294310938,3
"mean_respiratory_rate_brpm2",-0.00609599191072766,0.7121,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,-0.125172090790008,3
"min_respiratory_rate_brpm2",0.00357977420675765,0.8647,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,0.0567887903841227,3
"max_respiratory_rate_brpm2",-0.00988238216538676,0.5808,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,-0.19136317394554,3
"mean_prv_rmssd_ms2",-0.00667548542399283,0.7696,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,-0.147590358916496,3
"min_prv_rmssd_ms2",0.00214063067762255,0.9227,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,0.0367538975154645,3
"max_prv_rmssd_ms2",0.00176244364441434,0.9042,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,0.0413783428432588,3
"resting2",0.0347986927175143,0.9412,0.337627727688053,-0.372056849789034,0.475743363182996,0.917120041088657,0.0232299858489594,3
