"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.867583091969988,0.0332,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,0.871488661141914,1
"total_sleep_duration",-0.00880252061133801,0.0868,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,-0.529156450410022,1
"awake_time",-0.00284305235063651,0.3002,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,-0.269554269281183,1
"restless_sleep",0.00728901958604477,0.2302,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,0.339844154044972,1
"pa_mean",0.000435427849448068,0.8891,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,0.0294351929153748,1
"pa_std",-0.00166345213970455,0.5385,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,-0.130742233453461,1
"na_mean",-0.00550291547072866,0.0707,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,-0.380216573655502,1
"stress_mean",0.000737071698112552,0.7534,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,0.0576457267758401,1
"pain_mean",0.0027845294705228,0.0929,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,0.271358836200918,1
"mean_respiratory_rate_brpm",0.00193799971534315,0.5302,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,0.122691155966695,1
"min_respiratory_rate_brpm",-0.00146812794883781,0.7524,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,-0.0718070879965498,1
"max_respiratory_rate_brpm",-0.00123629041385423,0.7416,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,-0.0738097352635107,1
"mean_prv_rmssd_ms",0.0101687414987433,0.0506,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,0.693168420917233,1
"min_prv_rmssd_ms",0.000456553931438027,1,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,0.0241685261397245,1
"max_prv_rmssd_ms",-0.00674935970587215,0.0358,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,-0.488558815505939,1
"resting",-0.236940420347658,0.0301,0.74605528598421,0.473971663824435,2.74200732871053,0.0333783846507406,-0.487665009571694,1
"(Intercept)1",0.864524332957058,0.2475,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,0.86596043455485,2
"total_sleep_duration1",-0.00211600383422783,0.6133,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,-0.175538390793906,2
"awake_time1",-0.00111414760321055,0.6299,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,-0.14577488481965,2
"restless_sleep1",0.00454325727990861,0.3657,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,0.292318725259835,2
"pa_mean1",-0.000770005570451551,0.7704,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,-0.0718328618894665,2
"pa_std1",-0.00296537726715057,0.2178,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,-0.321635636905229,2
"na_mean1",-0.000280616272166689,0.9176,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,-0.0267565227086873,2
"stress_mean1",0.00348022727403127,0.1167,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,0.375615588865853,2
"pain_mean1",0.00305133470402922,0.0614,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,0.410355837956852,2
"mean_respiratory_rate_brpm1",0.00311144504362373,0.2778,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,0.271831826040229,2
"min_respiratory_rate_brpm1",0.00650279847349358,0.1348,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,0.438916919325011,2
"max_respiratory_rate_brpm1",0.0044493104861047,0.1891,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,0.366576379505757,2
"mean_prv_rmssd_ms1",-0.00026711767515181,0.9527,0.603673381285521,0.179037718377151,1.42162666496475,0.258195799389751,-0.025127703949345,2
