"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas"
"(Intercept)",0.0555645665087535,0.853,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,0.0557897615968087
"total_sleep_duration",-0.0011751761942145,0.6205,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,-0.223153765151
"awake_time",-0.00115536539381016,0.2795,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,-0.346022948824027
"restless_sleep",0.00219281324660603,0.4012,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,0.322950917126724
"pa_mean",0.00320260960505154,0.1519,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,0.627195134111218
"pa_std",6.72096935064594e-05,0.9694,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,0.0154085792603259
"na_mean",-0.000463744625929418,0.873,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,-0.0660486909191415
"stress_mean",-0.000630137294110781,0.7882,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,-0.105852444604122
"pain_mean",-0.00107592520357428,0.3968,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,-0.346640478410745
"mean_respiratory_rate_brpm",0.000287697663120675,0.7623,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,0.0843919106153475
"min_respiratory_rate_brpm",0.000279873356279939,0.8252,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,0.0599084058889088
"max_respiratory_rate_brpm",0.000405816269459504,0.7173,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,0.12427334538084
"mean_prv_rmssd_ms",0.000440581351811469,0.8459,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,0.0818534799265459
"min_prv_rmssd_ms",-0.00137605565022275,0.4208,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,-0.363924159987233
"max_prv_rmssd_ms",0.0021593219931164,0.3244,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,0.382818315174896
"std_prv_rmssd_ms",-0.000259049872500125,0.9279,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,-0.0401177620852121
"resting",0.0290185374513826,0.5604,0.397525523734848,-0.343981523976107,0.536104848850751,0.88138254954498,0.188661008111896
