"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas"
"(Intercept)",0.0617504663965459,0.4797,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,0.058721516395223
"total_sleep_duration",0.0072708098550838,0.0948,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,0.599842861074247
"awake_time",0.00210570740390055,0.2917,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,0.273991472045747
"restless_sleep",-0.00259023521035592,0.5882,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,-0.165740083213702
"pa_mean",-0.00369644938411885,0.3373,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,-0.314511779640066
"pa_std",-0.00211905715727186,0.4856,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,-0.211070153808742
"na_mean",-0.00525837890776468,0.3511,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,-0.325379865650741
"stress_mean",0.00599509696109878,0.2081,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,0.437537613673364
"pain_mean",0.00271812432421,0.2465,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,0.380469620502476
"mean_respiratory_rate_brpm",-0.000746417077175513,0.6879,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,-0.0951260636482512
"min_respiratory_rate_brpm",0.00240708478612898,0.3311,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,0.223857201028983
"max_respiratory_rate_brpm",0.0044786404149611,0.0541,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,0.595865449132677
"mean_prv_rmssd_ms",-0.00618540119516963,0.143,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,-0.49926645148581
"min_prv_rmssd_ms",0.00109093369174396,0.7442,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,0.12535068700725
"max_prv_rmssd_ms",-0.00141941330720783,0.7134,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,-0.10932957142182
"std_prv_rmssd_ms",0.000610582022632639,1,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,0.0410819266285247
"resting",-0.0369858019898088,0.6871,0.605673045371429,0.120347562751648,1.24797289048581,0.347543304599952,-0.104470853981428
