"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","node"
"(Intercept)",0.875786041271973,0.2074,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,0.881080589153062,1
"total_sleep_duration",0.0113874281681968,0.2403,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,0.407649541388809,1
"awake_time",0.00872863403423879,0.0611,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,0.492824065384279,1
"restless_sleep",-0.00600255316903017,0.5457,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,-0.16665984200595,1
"pa_mean",-0.0192083114270298,0.0402,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,-0.709166057457255,1
"pa_std",-0.00442040744857017,0.5234,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,-0.191052646432833,1
"na_mean",-0.0205970615469124,0.1074,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,-0.553032514084105,1
"stress_mean",0.0221630438171409,0.0442,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,0.701867588584206,1
"pain_mean",-0.00222505561943858,0.6572,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,-0.135144426586442,1
"mean_respiratory_rate_brpm",-0.00523025345352111,0.2352,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,-0.289232634905048,1
"min_respiratory_rate_brpm",0.00651676596576782,0.1841,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,0.262977387263242,1
"max_respiratory_rate_brpm",0.00264179273693026,0.5682,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,0.152513171103012,1
"mean_prv_rmssd_ms",-0.0121433731895047,0.1772,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,-0.425314758071687,1
"min_prv_rmssd_ms",0.0041780163418137,0.5548,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,0.208307592053151,1
"max_prv_rmssd_ms",-0.0154561700375886,0.103,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,-0.516579610307874,1
"std_prv_rmssd_ms",0.0208064893470585,0.0435,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,0.607452324224854,1
"eye_resting",-0.43723882057911,0.0546,0.658864102460834,0.239004536258784,1.56924875719937,0.208808620755426,-0.535902050733935,1
"(Intercept)1",0.881212529014398,0.1561,0.687622269944257,0.303157371414112,1.78851768411919,0.147765616160378,0.885119479086566,2
"total_sleep_duration1",0.00635641415151792,0.4174,0.687622269944257,0.303157371414112,1.78851768411919,0.147765616160378,0.257036977140408,2
"awake_time1",-0.000847077388641951,0.8224,0.687622269944257,0.303157371414112,1.78851768411919,0.147765616160378,-0.0540245082526817,2
"restless_sleep1",-0.0135226366605901,0.1409,0.687622269944257,0.303157371414112,1.78851768411919,0.147765616160378,-0.42410992988753,2
