"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.827555851546367,0.0021,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,0.840942185039801,1
"total_sleep_duration",-0.0257563371799723,0.0163,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,-0.617247562914454,1
"awake_time",-0.00651422869033577,0.2376,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,-0.246219586220839,1
"restless_sleep",0.0261161407416888,0.0404,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,0.485420289518228,1
"pa_mean",0.00245736682410689,0.6963,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,0.0662245342753772,1
"pa_std",-0.0100037201033706,0.0861,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,-0.313447896572349,1
"na_mean",-0.0187267726038394,0.0055,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,-0.515821425343822,1
"stress_mean",0.00455592893089295,0.3453,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,0.142047162341061,1
"pain_mean",0.00878983986170796,0.018,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,0.341484778775026,1
"mean_respiratory_rate_brpm",-0.00263302365471453,0.6763,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,-0.0664526873100179,1
"min_respiratory_rate_brpm",-0.000433581155475372,0.9673,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,-0.00845419080232573,1
"max_respiratory_rate_brpm",0.00695622256210946,0.3635,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,0.165563596786617,1
"mean_prv_rmssd_ms",0.0298753976759394,0.0083,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,0.81186439404191,1
"min_prv_rmssd_ms",-0.00112386111057262,0.8933,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,-0.0237175028496392,1
"max_prv_rmssd_ms",-0.0181049937360529,0.0083,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,-0.522457414247684,1
"resting",-0.575508723853928,0.0115,0.831015458676614,0.649960592972987,4.58985432646102,0.00343573453790379,-0.472207184516209,1
"(Intercept)1",0.818512009447496,0.2111,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,0.823045797818179,2
"total_sleep_duration1",-0.00968369396429073,0.4059,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,-0.271013542340333,2
"awake_time1",-0.00347131289872803,0.6096,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,-0.153224429533429,2
"restless_sleep1",0.0124318253631229,0.366,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,0.269847550492522,2
"pa_mean1",-0.00163800369604316,0.8351,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,-0.0515511614395619,2
"pa_std1",-0.012846932904073,0.0787,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,-0.47008667250928,2
"na_mean1",-0.0109430206696751,0.1733,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,-0.352004580365202,2
"stress_mean1",0.0112419940719088,0.0817,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,0.409330049827,2
"pain_mean1",0.00700619090116197,0.1356,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,0.317868146031031,2
"mean_respiratory_rate_brpm1",0.0123566713823311,0.1474,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,0.364194966724528,2
"min_respiratory_rate_brpm1",0.00709581280826966,0.5737,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,0.161576594975508,2
"max_respiratory_rate_brpm1",0.00862731015124225,0.3607,0.619324961521559,0.211458848866087,1.51845162494465,0.220496370595142,0.23979573255579,2
