"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.650051163351626,0.6462,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,0.648320746015421,1
"total_sleep_duration",-0.0115262213273967,0.5661,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,-0.227136889292104,1
"awake_time",0.00941709400149743,0.4349,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,0.292685992823963,1
"restless_sleep",-0.000893814436562843,0.9757,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,-0.0136609759421406,1
"pa_mean",-0.0128176977111777,0.3233,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,-0.28404319178225,1
"pa_std",-0.0160760621017469,0.2012,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,-0.41419889888021,1
"na_mean",-0.0141350196514811,0.3111,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,-0.320153529376003,1
"stress_mean",-0.00298984922916779,0.7741,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,-0.0766532100867375,1
"pain_mean",0.00269938277945131,0.7319,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,0.0862343506486057,1
"mean_respiratory_rate_brpm",0.0168675945426911,0.234,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,0.350055074389343,1
"min_respiratory_rate_brpm",0.00294536274352433,0.8805,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,0.0472243373696514,1
"max_respiratory_rate_brpm",-0.0124644486959898,0.4294,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,-0.243943862167729,1
"mean_prv_rmssd_ms",-0.00664387919790161,0.7301,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,-0.148462566604757,1
"min_prv_rmssd_ms",-0.00628393239659594,0.7385,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,-0.10904688375945,1
"max_prv_rmssd_ms",-0.0118766307301117,0.3717,0.47980447897685,-0.0775478649765247,0.860863839871082,0.612719455936586,-0.281819609194713,1
